chinese,pinyin,pali,sanskrit,context,category,notes,source,trans_known,added_by
再來人,,,,,,,S01,the reincarnation of (Zhang Guo Lao),pai8788@gmail.com
樹正法幢,,,,,,,S01,,pai8788@gmail.com
可憐衆生,,,,,,,S01,pitiful/pitiable living beings,pai8788@gmail.com
（下）地獄,,,,,,,S01,descend into hell,pai8788@gmail.com
知戒犯戒,,,,,,,S01,knows the precepts/rules/teachings but violates/breaks them,pai8788@gmail.com
罪業深重,,,,,,,S01,those with deep and heavy ngative karma,pai8788@gmail.com
如夢方醒,,,,,,,S01,as if one were waking from a dream,pai8788@gmail.com
殺生,,,,,,,S01,killing,pai8788@gmail.com
淫亂；邪淫,,,,,,,S01,sexual misconduct,pai8788@gmail.com
罪過,,,,,,,S01,sins; offenses,pai8788@gmail.com
愚癡蓋障,,,,,,,S01,minds are covered with ignorance,pai8788@gmail.com
恭敬,,,,,,,S01,"pious, devoted and respectul; venerate, pay respect/homage to, revere",pai8788@gmail.com
神通幻化,,,,,,,S01,miraculous powers？,pai8788@gmail.com
五體投地,,,,,,,S01,prostrate,pai8788@gmail.com
如來,,,,,,,S01,Thathagata,pai8788@gmail.com
佛菩薩心腸,,,,,,,S01,the heart of Buddha or Bodhisattva,pai8788@gmail.com
佛堂,,,,,,,S01,family shrine room,pai8788@gmail.com
消災解難；消災免難,,,,,,,S01,eliminate difficulties and remove disasters; extricate from difficulties and disasters; 消災avoid calamities,pai8788@gmail.com
至高無上聖者,,,,,,,S01,a supreme Holy One,pai8788@gmail.com
真修(行)；假修(行),,,,,,,S01,true/serious/sincere/genuine cultivation/practice; false/superficial/insincere/non-genuine cultivation,pai8788@gmail.com
諸善行者,,,,,,,S01,all good practitioners/cultivators,pai8788@gmail.com
信衆,,,,,,,S01,believers,pai8788@gmail.com
末法時代,,,,,,,S01,the Dharma-Ending Age,pai8788@gmail.com
法界,,,,,,,S01,the Dharma realm; in all of the Dharma realms,pai8788@gmail.com
（葬送）慧命；斷衆生慧命；斷送衆生慧命善根,,,,,,,S01,spell an end to people's wisdom; cut off people's interest to learn Buddhism and realize liberation,pai8788@gmail.com
（斷掉）善根,,,,,,,S01,cut off the roots of (their) kindness,pai8788@gmail.com
（聽聞）法音,,,,,,,S01,(listen to) Dharma discourses; hear the discourses; listen to Dharma tapes,pai8788@gmail.com
攝受力,,,,,,,S01,limitless power to bless,pai8788@gmail.com
覺受,,,,,,,S01,feel? touch the bottom of one's heart?,pai8788@gmail.com
行善好施,,,,,,,S01,doing good deeds and giving to others,pai8788@gmail.com
不傷生,,,,,,,S01,not harming living beings,pai8788@gmail.com
不邪淫,,,,,,,S01,not engaging in sexual misconduct,pai8788@gmail.com
不妄語,,,,,,,S01,not lying; not to speak falsely; not uttering lies,pai8788@gmail.com
不惡口,,,,,,,S01,not speaking harshly/abusively,pai8788@gmail.com
不綺語,,,,,,,S01,"not using profane, flowery language",pai8788@gmail.com
不兩舌,,,,,,,S01,not speaking words that cause discord and rifts among people,pai8788@gmail.com
不飲酒,,,,,,,S01,not drinking alcohol,pai8788@gmail.com
不貪,,,,,,,S01,not greedy,pai8788@gmail.com
不瞋（恨）,,,,,,,S01,not give rise to anger or hatred,pai8788@gmail.com
不癡,,,,,,,S01,not ignorant,pai8788@gmail.com
八戒,,,,,,,S01,Eight Precepts,pai8788@gmail.com
十戒,,,,,,,S01,Ten Precepts,pai8788@gmail.com
小乘戒,,,,,,,S01,Hinayana Precepts,pai8788@gmail.com
菩薩戒,,,,,,,S01,Bodhisattva Precepts,pai8788@gmail.com
凡夫（俗子）；普通衆生,,,,,,,S01,ordinary person/people; ordinary worldly people,pai8788@gmail.com
惡行,,,,,,,S01,evil conduct,pai8788@gmail.com
狂魔之徒,,,,,,,S01,followers of evil,pai8788@gmail.com
毀謗,,,,,,,S01,malign; slander; defame; backbit;,pai8788@gmail.com
墮落,,,,,,,S01,degenerate; degrade; become degenerate,pai8788@gmail.com
（墮）三惡道；惡趣,,,,,,,S01,descend into/degenerate/degrade/fall into three lower realms; three evil realms,pai8788@gmail.com
功德迴向,,,,,,,S01,dedicate one's own merit to,pai8788@gmail.com
承擔業報； 擔業,,,,,,,S01,bear someone's karmic retribution,pai8788@gmail.com
（多生）惡習,,,,,,,S01,bad habits and karmas (that have accumulated throughout previous lives),pai8788@gmail.com
無始劫,,,,,,,S01,over countless eons,pai8788@gmail.com
業力深重,,,,,,,S01,negative karma is deep and heavy； deep negative habitual tendencies,pai8788@gmail.com
寺主,,,,,,,S01,head of the temple,pai8788@gmail.com
監院,,,,,,,S01,supervisor of the temple,pai8788@gmail.com
福慧資糧,,,,,,,S01,blessings/good fortune and wisdom,pai8788@gmail.com
善業報身,,,,,,,S01,the reward body of good karma,pai8788@gmail.com
（翻開）佛書,,,,,,,S01,leaf through Buddhist books,pai8788@gmail.com
根器；根器,,,,,,,S01,innate faculty; 根性 capacity,pai8788@gmail.com
釋迦世尊；釋迦牟尼佛,,,,,,,S01,Sakyamuni Buddha; the World Honored One Sakyamuni Buddha,pai8788@gmail.com
西方净土,,,,,,,S01,ascend to the Western Paradise,pai8788@gmail.com
違背誓言,,,,,,,S01,break/violate vows and precepts,pai8788@gmail.com
(出離/脫離) 六道輪迴/輪迴,,,,,,,S01,leave the six realms of existence; leave samsara; leave the six realms of reincarnation; extricate/free oneself from the cycle of birth and death; end the cycle of life and death;,pai8788@gmail.com
法語,,,,,,,S01,Dharma talk,pai8788@gmail.com
攝化,,,,,,,S01,influenced?; edified,pai8788@gmail.com
拜師,,,,,,,S01,acknowedge the Master,pai8788@gmail.com
餓鬼道,,,,,,,S01,hungry ghost realm,pai8788@gmail.com
地獄道,,,,,,,S01,hell realm; the realm of hell,pai8788@gmail.com
貪著；貪婪,,,,,,,S01,greed,pai8788@gmail.com
考驗,,,,,,,S01,pass the test; did not pass the test,pai8788@gmail.com
魔障,,,,,,,S01,demonic/diabolical obstructions/impediments,pai8788@gmail.com
無明習氣p104,,,,,,,S01,igonrance?p82,pai8788@gmail.com
神聖莊嚴,,,,,,,S01,sacredness and solemnity,pai8788@gmail.com
金剛壇場,,,,,,,S01,the Vajra Buddhist alter,pai8788@gmail.com
仁波切,,,,,,,S01,rinpoche,pai8788@gmail.com
五雷正法掌,,,,,,,S01,Five Thunder Correct Dharma Palm,pai8788@gmail.com
業行,,,,,,,S01,action karma,pai8788@gmail.com
褻瀆佛法,,,,,,,S01,profane the Buddha Dharma,pai8788@gmail.com
造業犯罪,,,,,,,S01,create/produce/bring about/generate negative karmas; commit/make/do wrongs/sins/offenses,pai8788@gmail.com
弘揚佛法,,,,,,,S01,propagating/spreading Buddha Dharma,pai8788@gmail.com
修行求道,,,,,,,S01,cultivating oneself and seeking truth/the path to liberation,pai8788@gmail.com
（救）度衆生,,,,,,,S01,save living beings,pai8788@gmail.com
覺醒,,,,,,,S01,true awareness; suddenly come to awareness;,pai8788@gmail.com
執迷不悟,,,,,,,S01,refuse to realize one's errors,pai8788@gmail.com
佛菩薩再來人（金剛上師）,,,,,,,S01,reincarnated/real incarnation of a true Buddha or Bodhisattva,pai8788@gmail.com
顯密具通，五明具足,,,,,,,S01,is proficient in or has mastered both exoteric and esoteric Dharma and perfected the Five Sciences (Five Vidyas),pai8788@gmail.com
内密灌頂,,,,,,,S01,can perform the Inner-Tantric Initiations,pai8788@gmail.com
佛教教義,,,,,,,S01,Buddhist tenet/doctrine(s),pai8788@gmail.com
持戒,,,,,,,S01,uphold the precepts,pai8788@gmail.com
修行人的十種表面,,,,,,,S01,the Ten Superficialities of Practitioners; the ten types of superficiality in practice,pai8788@gmail.com
蓮花生大師,,,,,,,S01,Master Padmasambhava,pai8788@gmail.com
誦經,,,,,,,S01,reciting passages from the sutra,pai8788@gmail.com
因果不昧,,,,,,,S01,the principle/law of cause and effect never errs,pai8788@gmail.com
經教,,,,,,,S01,teachings contained in the sutra,pai8788@gmail.com
佛書論著,,,,,,,S01,(read) Buddhist books and commentaries,pai8788@gmail.com
進廟,,,,,,,S01,go to temples,pai8788@gmail.com
燒香,,,,,,,S01,light incense; burn incense,pai8788@gmail.com
拜佛,,,,,,,S01,worship the Buddha,pai8788@gmail.com
做善事,,,,,,,S01,do good deeds,pai8788@gmail.com
積累佛資糧,,,,,,,S01,accumulate and increase one's Buddhist rescources,pai8788@gmail.com
長功德；纍積功德；圓滿功德,,,,,,,S01,increase/accumulate merit; perfect one's merit,pai8788@gmail.com
常樂,,,,,,,S01,"(obtain) true, eternal happiness; eternal bliss",pai8788@gmail.com
出家人,,,,,,,S01,monastics; monks and nuns;,pai8788@gmail.com
出家,,,,,,,S01,go forthe from household life?; renounce worldly practice/pursuit,pai8788@gmail.com
在家,,,,,,,S01,lay practitioners,pai8788@gmail.com
居士；在家居士,,,,,,,S01,lay practitioners; laypersons; layman; laymen; householders,pai8788@gmail.com
念阿彌陀佛,,,,,,,S01,chant the name Amitabha,pai8788@gmail.com
一心不亂,,,,,,,S01,with a focused and devout mind,pai8788@gmail.com
佛像,,,,,,,S01,the image of (Amitabha) Buddha;,pai8788@gmail.com
保佑,,,,,,,S01,bless and protect,pai8788@gmail.com
求法,,,,,,,S01,beseech/learn Dharma; seek the Dharma,pai8788@gmail.com
世法；世間法,,,,,,,S01,worldly/mundane matters/things/affairs; worldly/ mundane mindset/attitude/perspective/view/mentality,pai8788@gmail.com
修持,,,,,,,S01,practices/cultivation (one upholds),pai8788@gmail.com
空諦,,,,,,,S01,the meaning of emptiness,pai8788@gmail.com
莊嚴,,,,,,,S01,solemnity; solemn,pai8788@gmail.com
儀規；儀式儀規禮節,,,,,,,S01,rites and rituals,pai8788@gmail.com
佛教徒,,,,,,,S01,Buddhists,pai8788@gmail.com
燒香作供,,,,,,,S01,burn incense and make offerings,pai8788@gmail.com
背負因果：背因果；,,,,,,,S01,shoulder/bear the karmic consequences/results,pai8788@gmail.com
門外漢,,,,,,,S01,shoulder/bear the karmic consequences/results,pai8788@gmail.com
信仰,,,,,,,S01,belief; faith,pai8788@gmail.com
畜生道,,,,,,,S01,animal realm,pai8788@gmail.com
無量悲心,,,,,,,S01,limitless compassion,pai8788@gmail.com
(受)業力果報；因果報應,,,,,,,S01,(receive) karmic consequences/retributions/negative results,pai8788@gmail.com
無量苦果,,,,,,,S01,limitless sufferings,pai8788@gmail.com
利他,,,,,,,S01,(acts or conducts of) benefiting others; be beneficial to others,pai8788@gmail.com
俗諦；世俗諦,,,,,,,S01,in the mundane sense; in the worldly sense,pai8788@gmail.com
勝義諦,,,,,,,S01,in the wonderful sense?;,pai8788@gmail.com
大悲心,,,,,,,S01,(have a heart of) great compassion,pai8788@gmail.com
（發）菩提心,,,,,,,S01,(arouse) bodhicitta,pai8788@gmail.com
菩提願力,,,,,,,S01,make bodhicitta vows,pai8788@gmail.com
大乘 中乘 小乘,,,,,,,S01,"the Great Vehicle, the Middle Vehicle, the Small Vehicle?; the Mahayana Buddhism; the Hinayana Buddhsim",pai8788@gmail.com
大乘行人；大乘行者,,,,,,,S01,the Great Vehicle practitioner; practitioner of the Mahayana Buddhism; Mahayana practitioner,pai8788@gmail.com
羅漢,,,,,,,S01,Arhat,pai8788@gmail.com
辟支佛,,,,,,,S01,Prrtyeka Buddha,pai8788@gmail.com
小乘境界,,,,,,,S01,the state of the Hinayana Buddhism,pai8788@gmail.com
證境,,,,,,,S01,the state of realization,pai8788@gmail.com
戒律清净,,,,,,,S01,complete compliance with the precepts,pai8788@gmail.com
利樂有情,,,,,,,S01,"benefit, make happy and help all swntient beings",pai8788@gmail.com
行菩薩道,,,,,,,S01,walk the Bodhisattva path; walk on the Bodhisattva path?,pai8788@gmail.com
聖潔,,,,,,,S01,holy and pure,pai8788@gmail.com
放生,,,,,,,S01,free capative animals,pai8788@gmail.com
願力,,,,,,,S01,vows; make vows,pai8788@gmail.com
寧捨生命不捨法,,,,,,,S01,One is willing to give up one's life rather than disregard the Dharma,pai8788@gmail.com
聖者風範,,,,,,,S01,the model/example of a Holy One,pai8788@gmail.com
菩薩行(為),,,,,,,S01,Bodhisattva conduct,pai8788@gmail.com
空願力,,,,,,,S01,make empty vows,pai8788@gmail.com
錯因果,,,,,,,S01,violate the law of cause and effect,pai8788@gmail.com
符合教法（教義）,,,,,,,S01,be/act in accord with/comply with/in compliance with/in comformity with the Buddha Dharma/the teachings of the Buddha/principles,pai8788@gmail.com
自利利他,,,,,,,S01,benefit oneself and benifit others,pai8788@gmail.com
行善布施,,,,,,,S01,do good and make donations; engage in charitable activities or contributions; practice some charity,pai8788@gmail.com
生死自由,,,,,,,S01,have control over/be in control of one's own birth and death; free from the cycle of birth and death; attain control over one's own life and death 155,pai8788@gmail.com
净佈施,,,,,,,S01,pure charitable acts/activities/contributions,pai8788@gmail.com
不净佈施,,,,,,,S01,impure charitable activities; tainted donations,pai8788@gmail.com
有相佈施,,,,,,,S01,charitable donations/acts/donating in form;,pai8788@gmail.com
無相佈施,,,,,,,S01,,pai8788@gmail.com
珍惜福報,,,,,,,S01,appreciating the wealth/good fortune/blessings one has,pai8788@gmail.com
我見,,,,,,,S01,a view of self; have an erroneous view that self/ego is real,pai8788@gmail.com
(受)(善惡)業報,,,,,,,S01,(receive) karmic retribution/punishment/reward,pai8788@gmail.com
出世法,,,,,,,S01,non-worldly Dharma; supra-mundane Dharma?,pai8788@gmail.com
邪知邪見,,,,,,,S01,an evil view; an evil understanding and view,pai8788@gmail.com
了證空性；了悟空性；了空性,,,,,,,S01,realizing the nature of emptiness; realizing the empty nature of things,pai8788@gmail.com
密人；密宗行人,,,,,,,S01,Vajrayana (Buddhism) practitioners,pai8788@gmail.com
密宗；密法,,,,,,,S01,Vajrayana Buddhism; tantra; esoteric Buddhism,pai8788@gmail.com
三昧耶戒,,,,,,,S01,Samaya Precepts,pai8788@gmail.com
修行證道,,,,,,,S01,who have already realized enlightenment by cultivating themselves,pai8788@gmail.com
十大宗派,,,,,,,S01,ten major schools,pai8788@gmail.com
即身成佛,,,,,,,S01,becoming a Buddha or Great Bodhisattva in this very lifetime,pai8788@gmail.com
宗派,,,,,,,S01,schools and sects,pai8788@gmail.com
證三身（法身、報身、化身）,,,,,,,S01,"realize the state of Three Bodies (Dharmakaya, Sambhogakaya, Nirmanakaya/ Dharma body, Reward body, Manifested body)",pai8788@gmail.com
佛陀,,,,,,,S01,Buddha,pai8788@gmail.com
圓滿偉大,,,,,,,S01,"perfect, magnificent",pai8788@gmail.com
無上覺位,,,,,,,S01,the supreme state of enlightenment,pai8788@gmail.com
阿達爾瑪佛,,,,,,,S01,Adharma Buddha; the highest leader of tantra,pai8788@gmail.com
金剛總持,,,,,,,S01,Vajradhara,pai8788@gmail.com
古佛,,,,,,,S01,the ancient Buddha,pai8788@gmail.com
如來光明正定,,,,,,,S01,a Tathagata Brightness state of correct concentration,pai8788@gmail.com
正定,,,,,,,S01,correct concentration,pai8788@gmail.com
威光雄力,,,,,,,S01,,pai8788@gmail.com
金剛地獄,,,,,,,S01,the Vajra Hell,pai8788@gmail.com
顯宗；顯法,,,,,,,S01,exoteric Dharma; exoteric Buddhism,pai8788@gmail.com
搖鈴打鼓,,,,,,,S01,ring bells and beat drums,pai8788@gmail.com
修觀,,,,,,,S01,practice visualization,pai8788@gmail.com
持咒,,,,,,,S01,chant mantras;,pai8788@gmail.com
儀軌,,,,,,,S01,practice rituals,pai8788@gmail.com
單尊儀軌,,,,,,,S01,practice the rules and rituals of one's own yidam,pai8788@gmail.com
無上儀軌,,,,,,,S01,practice the supreme rules and rituals,pai8788@gmail.com
閉關（入關閉境地修練）,,,,,,,S01,enter the state of solitary practice; retreat,pai8788@gmail.com
歷代祖師,,,,,,,S01,ancient Masters who lived through ages; patriachs,pai8788@gmail.com
馬爾巴大師,,,,,,,S01,Master Marpa,pai8788@gmail.com
大懺悔,,,,,,,S01,thoroughly repent; deep repentance,pai8788@gmail.com
僧；僧眾；僧侶,,,,,,,S01,monastics,pai8788@gmail.com
貪求情愛；貪求利養；貪求世法,,,,,,,S01,covet affection and love; covet wpersonal gain and offerings; covet worldly gain,pai8788@gmail.com
煩惱,,,,,,,S01,defilements,pai8788@gmail.com
煩惱障,,,,,,,S01,obstruction of defilements; be obstructed from attaining enlightenment due to defilements,pai8788@gmail.com
五蘊（色受想行識）,,,,,,,S01,"five aggregates (forms, feelings, perceptions, mental formations/volitions, and consciousness)",pai8788@gmail.com
五蘊不空,,,,,,,S01,not emptying/not being able to empty the five aggregates; hold tight to the five aggregates,pai8788@gmail.com
(貪求)名聞利養,,,,,,,S01,"coveting/craving/longing for fame, status, profits/gain and offterings of disciples",pai8788@gmail.com
五欲,,,,,,,S01,"five desires (forms, sounds, smells, tastes and touch sensations))",pai8788@gmail.com
參禪打坐,,,,,,,S01,sit and meditate; quietly sit in meditation,pai8788@gmail.com
萬法皆空,,,,,,,S01,all Dharmas and all things are empty,pai8788@gmail.com
六根未净,,,,,,,S01,six bases are not yet pure,pai8788@gmail.com
塵境,,,,,,,S01,things of the world,pai8788@gmail.com
執著,,,,,,,S01,attachment; attach to; be attached to; adhere to,pai8788@gmail.com
色聲香味觸法,,,,,,,S01,"forms, sounds, smells, tastes, touches/bodily sensations and thoughts/mental objects",pai8788@gmail.com
顛倒夢想,,,,,,,S01,"engage in discord, dream-like thinking",pai8788@gmail.com
世法幻相,,,,,,,S01,illusory things of the world,pai8788@gmail.com
了悟,,,,,,,S01,become aware;,pai8788@gmail.com
開悟,,,,,,,S01,become awakened; get awakened; attain understanding and awareness,pai8788@gmail.com
散亂,,,,,,,S01,thoughts run wild; thoughts are scattered; unfocused/distracted mind; reckless thoiughts,pai8788@gmail.com
外境所遷,,,,,,,S01,be manipulated by the outside/external environment,pai8788@gmail.com
内外魔羅,,,,,,,S01,both inner and outer devils,pai8788@gmail.com
提起正念,,,,,,,S01,give rise to right mindfulness,pai8788@gmail.com
無明垢業,,,,,,,S01,the negative karma born of ignorance,pai8788@gmail.com
自性光明,,,,,,,S01,original bright nature,pai8788@gmail.com
修禪入定,,,,,,,S01,meditate and enter into a state of concentration,pai8788@gmail.com
修禪習定,,,,,,,S01,practice meditation and concentration,pai8788@gmail.com
大禮拜,,,,,,,S01,prostrate,pai8788@gmail.com
善信；善男信女,,,,,,,S01,good Budhhist followers; devout men and women,pai8788@gmail.com
持鉢,,,,,,,S01,hold an alms bowl,pai8788@gmail.com
比丘；和尚,,,,,,,S01,monks,pai8788@gmail.com
無量(有情)衆生,,,,,,,S01,countless sentient beings,pai8788@gmail.com
千劫萬生；萬劫千生,,,,,,,S01,for eons and eons,pai8788@gmail.com
(陷於)六道輪迴火宅,,,,,,,S01,stay trapped in the burning houise of the six realms of samsara,pai8788@gmail.com
化緣,,,,,,,S01,on (one's) alms round,pai8788@gmail.com
佛教界,,,,,,,S01,within Buddhist circles,pai8788@gmail.com
水中花,,,,,,,S01,the reflection of flowers on water,pai8788@gmail.com
鏡中月,,,,,,,S01,the appearance of the moon on a mirrot,pai8788@gmail.com
犯戒（犯罪）,,,,,,,S01,violating the precepts is committing offenses,pai8788@gmail.com
